model,wmape,smape,bias,mase,best_model,sku_id
ETS,0.0627062706270612,0.08155467720670376,228.0,0.5478260869433589,ETS,Hour
LightGBM,0.17037912021318935,0.16684812637335195,-4.946240529765164,1.087103251347309,LightGBM,M01AB
ETS,0.2922417262206273,0.24299019967360164,4.004841646705368,1.1152319300980302,ETS,M01AE
LightGBM,0.013695683381687548,0.023761994687594983,3.8293217949977407,0.4765228091368047,LightGBM,Month
ETS,0.23740960676173886,0.22437951262894618,-1.0231641072150366,1.2577216813419307,ETS,N02BA
ETS,0.2725407290185891,0.2101018512089903,38.37645788306252,1.1046920585857771,ETS,N02BE
ETS,0.19555366319874856,0.1800642109980794,5.618005099396823,1.2472703168130275,ETS,N05B
ETS,0.14369854483198657,0.13155962429983853,1.0259394151638253,0.8434038264594045,ETS,N05C
LightGBM,0.23804845827844304,0.21214504847973464,-18.410067967930438,1.041032445763929,LightGBM,R03
LightGBM,0.15171081961960914,0.14801656607660757,-2.214013747562839,0.9244421365519427,LightGBM,R06
ETS,0.010557057422676187,0.014119446871860107,3697.683889033738,0.5398760548257905,ETS,Year
